".threshold",".metric",".estimator",".estimate","species"
0.9,"kap","binary",0.0458141772693255,"Harbor seal"
0.1,"sens","binary",0.638795986622074,"Harbor seal"
0.11,"sens","binary",0.608695652173913,"Harbor seal"
0.12,"sens","binary",0.57190635451505,"Harbor seal"
0.13,"sens","binary",0.548494983277592,"Harbor seal"
0.14,"sens","binary",0.545150501672241,"Harbor seal"
0.15,"sens","binary",0.528428093645485,"Harbor seal"
0.16,"sens","binary",0.521739130434783,"Harbor seal"
0.17,"sens","binary",0.511705685618729,"Harbor seal"
0.18,"sens","binary",0.505016722408027,"Harbor seal"
0.19,"sens","binary",0.481605351170569,"Harbor seal"
0.2,"sens","binary",0.471571906354515,"Harbor seal"
0.21,"sens","binary",0.464882943143813,"Harbor seal"
0.22,"sens","binary",0.451505016722408,"Harbor seal"
0.23,"sens","binary",0.431438127090301,"Harbor seal"
0.24,"sens","binary",0.418060200668896,"Harbor seal"
0.25,"sens","binary",0.408026755852843,"Harbor seal"
0.26,"sens","binary",0.394648829431438,"Harbor seal"
0.27,"sens","binary",0.387959866220736,"Harbor seal"
0.28,"sens","binary",0.381270903010033,"Harbor seal"
0.29,"sens","binary",0.374581939799331,"Harbor seal"
